title?,string,title of embed
type?,string,"type of embed (always ""rich"" for webhook embeds)"
description?,string,description of embed
url?,string,url of embed
timestamp?,ISO8601 timestamp,timestamp of embed content
color?,integer,color code of the embed
footer?,embed footer object,footer information
image?,embed image object,image information
thumbnail?,embed thumbnail object,thumbnail information
video?,embed video object,video information
provider?,embed provider object,provider information
author?,embed author object,author information
fields?,array of embed field objects,fields information
